ncei_id,location_name,ncei_magnitude,damage_order,mag_body_wave,published,damage_order_total,houses_damaged_total,houses_damaged_order_total,country,region_code,injuries,injuries_order,houses_destroyed,houses_destroyed_order,houses_damaged,houses_damaged_order,mag_moment,mag_surface_wave,injuries_total,injuries_order_total,houses_destroyed_total,houses_destroyed_order_total,deaths,deaths_order,damage_millions,deaths_total,deaths_order_total,damage_millions_total,intensity,usgs_id,time,latitude,longitude,depth,usgs_magnitude,place,sig,mmi,alert,magnitude,year,depth_category,region
5553,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,5.9,4.0,5.4,True,4.0,,,CHINA,30,2528.0,4.0,41000.0,4.0,,,5.9,5.9,2528.0,4.0,41000.0,4.0,5.0,1.0,73.5,7.0,1.0,73.5,,usp0009m4u,2000-01-14 23:37:07.870000+00:00,25.607,101.063,33.0,5.9,"85 km E of Dali, China",536,5.928,,5.9,2000,intermediate,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY
5554,"IRAN:  BARDASKAN, KASHMAR",5.3,2.0,5.1,True,2.0,300.0,3.0,IRAN,140,15.0,1.0,100.0,2.0,100.0,2.0,5.3,5.3,15.0,1.0,100.0,2.0,1.0,1.0,,1.0,1.0,,,usp0009mz6,2000-02-02 22:58:01.550000+00:00,35.288,58.218,33.0,5.3,"22 km E of Bardaskan, Iran",432,6.852,,5.3,2000,intermediate,KASHMAR
5557,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",7.6,4.0,6.7,True,4.0,,,INDONESIA,170,264.0,3.0,23000.0,4.0,,,7.6,7.5,264.0,3.0,23000.0,4.0,54.0,2.0,30.0,54.0,2.0,30.0,,usp0009sbh,2000-05-04 04:21:16.210000+00:00,-1.105,123.573,26.0,7.6,"89 km E of Luwuk, Indonesia",889,6.715,,7.6,2000,shallow,
5559,TAIWAN:  TAI-CHUNG COUNTY,5.4,1.0,5.4,True,1.0,,,TAIWAN,30,13.0,1.0,,,,,5.4,5.3,13.0,1.0,,,3.0,1.0,,3.0,1.0,,,usp0009t2k,2000-05-17 03:25:48.750000+00:00,24.223,121.058,10.0,5.4,"29 km NNE of Puli, Taiwan",449,4.97,,5.4,2000,shallow,TAIWAN:  TAI-CHUNG COUNTY
5560,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",7.9,3.0,6.8,True,3.0,,,INDONESIA,60,2174.0,4.0,,,,,7.9,8.0,2174.0,4.0,,,103.0,3.0,6.0,103.0,3.0,6.0,6.0,usp0009txv,2000-06-04 16:28:26.170000+00:00,-4.721,102.087,33.0,7.9,"103 km S of Bengkulu, Indonesia",960,7.885,,7.9,2000,intermediate,ENGGANO
5561,"TURKEY:  CERKES, CUBUK, ORTA",6.0,3.0,5.5,True,3.0,4600.0,4.0,TURKEY,140,80.0,2.0,,,,,6.0,6.1,80.0,2.0,,,2.0,1.0,,2.0,1.0,,7.0,usp0009u3d,2000-06-06 02:41:49.800000+00:00,40.693,32.992,10.0,6.0,"12 km NW of Orta, Turkey",554,6.904,,6.0,2000,shallow,ORTA
5563,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,6.7,2.0,6.1,True,2.0,600.0,3.0,INDONESIA,60,,,,,600.0,3.0,6.7,6.7,,,,,1.0,1.0,,1.0,1.0,,,usp0009txx,2000-06-04 16:39:45.600000+00:00,-4.646,102.102,33.0,6.7,"95 km S of Bengkulu, Indonesia",691,4.918,,6.7,2000,intermediate,INDONESIA:  SOUTHERN SUMATERA:  LAHAT
5564,TAIWAN:  NAN-TOU,6.4,1.0,6.2,True,1.0,,,TAIWAN,30,36.0,1.0,,,,,6.4,6.2,36.0,1.0,,,2.0,1.0,,2.0,1.0,,,usp0009ucq,2000-06-10 18:23:29.320000+00:00,23.843,121.225,33.0,6.4,"29 km ESE of Puli, Taiwan",630,5.624,,6.4,2000,intermediate,TAIWAN:  NAN-TOU
5568,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,6.1,1.0,6.0,True,1.0,,,JAPAN,30,,3.0,,,,,6.1,6.1,,3.0,,,1.0,1.0,,1.0,1.0,,,usp0009vhb,2000-07-01 07:01:55.580000+00:00,34.221,139.131,10.0,6.1,"53 km SSE of Shimoda, Japan",572,6.527,,6.1,2000,shallow,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA
5569,NICARAGUA:  MASAYA,5.4,3.0,5.0,True,3.0,1130.0,4.0,NICARAGUA,100,42.0,1.0,357.0,3.0,1130.0,4.0,5.4,5.1,42.0,1.0,357.0,3.0,7.0,1.0,,7.0,1.0,,,usp0009vy1,2000-07-06 19:30:20.330000+00:00,11.884,-85.988,33.0,5.4,"6 km SW of Granada, Nicaragua",449,4.3,,5.4,2000,intermediate,NICARAGUA:  MASAYA
